seed,vehicles_count,delay_steps,delay_ms,policy,collided,failure,min_headway,min_ttc_est,risk_score,steps
8027,8,0,0.0,heuristic,0,0,23.757501705206323,5.991585079153238,0.3338014855131875,200
8028,8,0,0.0,heuristic,0,0,65.53560200969741,25.67659637308637,0.07789194373504874,200
8029,8,0,0.0,heuristic,0,0,22.590988874477375,5.524610229036897,0.3620164893241091,200
8030,8,0,0.0,heuristic,0,0,17.710177962052967,9.180224694369633,0.21785959130462565,200
8031,8,0,0.0,heuristic,0,0,82.70302677153757,21.51304059567563,0.09296686775192639,200
8032,8,0,0.0,heuristic,0,0,47.31726372514527,15.29037130610761,0.13080127094108673,200
8033,8,0,0.0,heuristic,0,0,32.88051288442671,11.692142069511926,0.17105505459218967,200
8034,8,0,0.0,heuristic,0,0,23.19980648971614,6.67984398966471,0.29940819023535137,200
8035,8,0,0.0,heuristic,0,0,9.207665678281273,7.808834756664797,0.25612015906637176,200
8036,8,0,0.0,heuristic,0,0,79.07670571244194,29.79235058152286,0.06713132602703711,200
8037,8,0,0.0,heuristic,0,0,21.739835853221052,15.621260614376256,0.12803064037990627,200
8038,8,0,0.0,heuristic,0,0,23.937812917841597,8.61763631741155,0.2320822005401979,200
8039,8,0,0.0,heuristic,0,0,23.741588326015176,7.512726822088893,0.26621492400330693,200
8040,8,0,0.0,heuristic,0,0,23.53678858014871,6.679000232418452,0.29944601443378066,200
8041,8,0,0.0,heuristic,0,0,169.7962798239251,103.62795334804312,0.019299811830528327,200
8042,8,0,0.0,heuristic,0,0,57.90910128370757,17.739295612429643,0.11274404822470131,200
8043,8,0,0.0,heuristic,0,0,23.324653522802464,5.547540673794771,0.36052011469650186,200
8044,8,0,0.0,heuristic,0,0,93.87681051804185,19.432278720408195,0.10292153734392237,200
8045,8,0,0.0,heuristic,0,0,14.174695442110504,3.306097674347887,0.6049428047810145,200
8046,8,0,0.0,heuristic,0,0,23.637248809367406,7.722904286392475,0.25896993227326925,200
8047,8,0,0.0,heuristic,0,0,58.403783050839365,24.901947363034438,0.08031500391687797,200
8048,8,0,0.0,heuristic,0,0,25.750575997978103,10.374877012548621,0.19277336951377447,200
8049,8,0,0.0,heuristic,0,0,14.235375832653745,7.061267100720613,0.283235285037709,200
8050,8,0,0.0,heuristic,0,0,23.68780613351157,7.683371732928354,0.26030238670200884,200
8051,8,0,0.0,heuristic,0,0,13.945225781930048,4.54803130366739,0.4397507111235718,200
8052,8,0,0.0,heuristic,0,0,38.239764291143956,15.91788333457788,0.12564484598624162,200
8053,8,0,0.0,heuristic,0,0,90.11393237741459,25.760599461147173,0.07763794483961654,200
8054,8,0,0.0,heuristic,0,0,19.95913492714601,3.7833046542193682,0.5286383685145419,200
8055,8,0,0.0,heuristic,0,0,23.966422516499847,6.321890343134227,0.31636107104769123,200
8056,8,0,0.0,heuristic,0,0,13.00543577174966,6.183488664802363,0.3234420095866585,200
8057,8,0,0.0,heuristic,0,0,58.282935315859504,15.737844308130063,0.12708220775616733,200
8058,8,0,0.0,heuristic,0,0,22.763920751711282,4.433249198636759,0.4511363811028281,200
8059,8,0,0.0,heuristic,0,0,22.827452172704966,6.090788155736098,0.32836472864623734,200
8060,8,0,0.0,heuristic,0,0,23.837811235956792,6.60563857817237,0.30277163613050023,200
8061,8,0,0.0,heuristic,0,0,31.391533774178015,9.307810638286227,0.21487330132967167,200
8062,8,0,0.0,heuristic,0,0,24.092148986162215,9.061616293501643,0.2207111772581079,200
8063,8,0,0.0,heuristic,0,0,34.94945227842459,11.743884751318648,0.17030139875780306,200
8064,8,0,0.0,heuristic,0,0,20.3250543085301,9.073528622390848,0.22042141301726625,200
8065,8,0,0.0,heuristic,0,0,24.017794643099137,8.265521921769226,0.2419689910606277,200
8066,8,0,0.0,heuristic,0,0,146.13275303844512,118.90744034317233,0.01681980533958101,200
8067,8,0,0.0,heuristic,0,0,18.295887023293574,5.469704621821093,0.36565045798288764,200
8068,8,0,0.0,heuristic,0,0,56.00831920842302,18.162467309909587,0.11011719750811522,200
8069,8,0,0.0,heuristic,0,0,47.306533628366935,10.264248929703722,0.194851081038399,200
8070,8,0,0.0,heuristic,0,0,105.25202344938833,45.87226771024057,0.04359932699715907,200
8071,8,0,0.0,heuristic,0,0,97.15705136575883,55.20848802893883,0.036226313586991424,200
8072,8,0,0.0,heuristic,0,0,41.259249002642264,16.608430133420704,0.12042077330207465,200
8073,8,0,0.0,heuristic,0,0,21.303608121524547,11.003151222499833,0.1817661104130145,200
8074,8,0,0.0,heuristic,0,0,17.48695679781892,9.188956955501041,0.2176525594455728,200
8075,8,0,0.0,heuristic,0,0,19.921248759978965,13.139465883054507,0.1522131887095447,200
8076,8,0,0.0,heuristic,0,0,27.33664694540562,11.659962218436478,0.1715271424154054,200
8077,8,0,0.0,heuristic,0,0,17.567756175510112,4.551040005501205,0.4394599910311578,200
8078,8,0,0.0,heuristic,0,0,23.850231939723585,6.076145650762449,0.32915603327399423,200
8079,8,0,0.0,heuristic,0,0,62.75511458752234,18.32123723397608,0.10916293340119364,200
8080,8,0,0.0,heuristic,0,0,92.9240913160445,30.853896336938963,0.06482163478346675,200
8081,8,0,0.0,heuristic,0,0,21.785849124654533,5.383055110357907,0.37153622970562983,200
8082,8,0,0.0,heuristic,0,0,22.549840696874526,4.852797877399091,0.4121333817166771,200
8083,8,0,0.0,heuristic,0,0,23.31758894835741,6.7614347294880845,0.29579520915547197,200
8084,8,0,0.0,heuristic,0,0,38.835084084758364,12.265290690708976,0.16306176921799423,200
8085,8,0,0.0,heuristic,0,0,54.68904789440853,21.151831163307193,0.09455446124539177,200
8086,8,0,0.0,heuristic,0,0,22.80925445971286,3.34460329955599,0.5979782416245024,200
8087,8,0,0.0,heuristic,0,0,23.881685947025062,7.557421642878849,0.2646405208692498,200
8088,8,0,0.0,heuristic,0,0,22.784030721638032,10.035325513151646,0.1992959767352768,200
8089,8,0,0.0,heuristic,0,0,59.72558697929114,15.05825884050168,0.1328174805058251,200
8090,8,0,0.0,heuristic,0,0,111.78756508053675,48.90283878217733,0.040897421290988556,200
8091,8,0,0.0,heuristic,0,0,36.32984551106867,11.860406463044729,0.16862828489324577,200
8092,8,0,0.0,heuristic,0,0,5.842709162069696,3.1391547502820027,0.6371141785285775,200
8093,8,0,0.0,heuristic,0,0,59.76488483291138,13.110179556898549,0.15255321190071758,200
8094,8,0,0.0,heuristic,0,0,18.964920573714608,8.259752294718531,0.2421380119690568,200
8095,8,0,0.0,heuristic,0,0,45.27472928098223,13.622033836459773,0.14682095375853063,200
8096,8,0,0.0,heuristic,0,0,83.6156795668962,65.17307385060346,0.030687519888729038,200
8097,8,0,0.0,heuristic,0,0,66.90574391037799,42.392896493894895,0.0471777152638774,200
8098,8,0,0.0,heuristic,0,0,21.68660381503014,5.145507848689303,0.3886885529694514,200
8099,8,0,0.0,heuristic,0,0,22.44760489783755,7.165543407435524,0.279113513976434,200
8100,8,0,0.0,heuristic,0,0,23.583930251203867,7.566669348457068,0.2643170869370449,200
8101,8,0,0.0,heuristic,0,0,83.84942807680468,58.822234374942816,0.0340007485477628,200
8102,8,0,0.0,heuristic,0,0,125.35597198348114,35.66785629642303,0.05607289609385835,200
8103,8,0,0.0,heuristic,0,0,81.82098096608581,38.99752268860639,0.05128530896615966,200
8104,8,0,0.0,heuristic,0,0,20.040054970178062,4.801922248127953,0.4164998716461324,200
8105,8,0,0.0,heuristic,0,0,36.31105415203655,7.562004340660008,0.2644801444038104,200
8106,8,0,0.0,heuristic,0,0,147.22003329980316,53.77036174926457,0.03719521191481205,200
